Id,symbol,expiry,strike,right,secType,currency,exchange,action,qty,barsize,duration,history_end_dt,status
2,GBPAUD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
3,AUDCAD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
4,AUDCHF,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
5,AUDJPY,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
6,AUDNZD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
7,AUDUSD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
8,CADCHF,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
9,CHFJPY,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
10,EURAUD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
11,EURCAD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
12,EURCHF,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
13,EURGBP,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
14,EURJPY,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
15,EURNZD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
16,EURUSD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
17,GBPAUD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
18,GBPCAD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
19,GBPCHF,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
20,GBPJPY,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
21,GBPNZD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
22,GBPUSD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
23,NZDCAD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
24,NZDCHF,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
25,NZDJPY,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
26,NZDUSD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
27,USDCAD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
28,USDCHF,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
29,USDJPY,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
30,USDSGD,,,,CASH,,IDEALPRO,BUY,,30 mins,8 D,,A
